"datestamp","Fund","US.Pure.Growth","US.Pure.Value","US.Pure.Momentum","US.Pure.Size","RMRF"
"2008-10-31",-0.35340022296544,0.000336272212355881,-0.00552038255373211,0.017407855710682,0.00589271375657274,-0.171879294148045
"2008-11-28",-0.131034482758621,-0.0041494647715693,0.000477730985527947,0.0143491567599969,0.0145617942808585,NA
"2008-12-31",0.0238095238095237,0.00127639823624981,0.0516896854190347,-0.0190525646650133,-0.0190609137055837,0.00836462394527704
"2009-01-30",-0.114341085271318,-0.00923945680000848,-0.00841936948496746,-0.00626123782663868,0.00247095655773744,NA
"2009-02-27",-0.185995623632385,-0.00456179153995018,-0.0191417565025234,0.00229616907152108,0.00388442230510133,NA
"2009-03-31",0.279569892473118,0.00481770694241179,-0.00710385840995353,-0.0459556296791812,0.00485923640570762,0.0867748062005014
"2009-04-30",0.252100840336134,-0.00128635822418788,0.022348167378728,-0.0819982326725064,-0.0183834817316549,0.0948264418697189
"2009-05-29",0.140939597315436,0.00251216162992463,0.0291478587746004,-0.0286162699450694,0.000221553218386461,NA
"2009-06-30",-0.0926470588235294,0.00531965724843109,0.00783951816592188,-0.00272511848341228,-0.00568092979621626,0.00155150892882494
"2009-07-31",0.116693679092382,-0.00708702999577515,0.0160679344944914,-0.0172702431226847,-0.00427193626166267,0.0751597827375672
"2009-08-31",0.107402031930334,-0.00769075301300937,-0.00580568045990104,-0.0108036224557085,0.00760666438554458,0.0356500427473392
"2009-09-30",0.150720838794233,0.00790043522071904,0.00251426499494278,-0.00951058274540295,-0.00933859255002345,0.0370577803480363
"2009-10-30",-0.010250569476082,0.00663667400529655,0.0138913344532696,-0.00630405276559465,0.0052472675974633,NA
"2009-11-30",0.00805523590333723,-0.00104599194903165,0.00238911053743252,0.00547484393872688,0.0108069825698061,0.0597956975020066
"2009-12-31",0.0639269406392695,-0.00049710200109998,-0.00271119456449975,0.00691575354769181,-0.0167767383321873,0.0191691419648023
"2010-01-29",0.0375536480686696,-0.0025502375636236,0.00243684853037829,-0.0146173401123897,-0.00229618094961603,NA
"2010-02-26",-0.00723888314374355,-0.00283259070655639,0.00497894603721805,0.0132500537470157,-0.00367705412412034,NA
"2010-03-31",0.172916666666667,0.00417052333684431,0.00332770947325267,0.00935810961718864,-0.00277460637761207,0.0602604879847204
"2010-04-30",0.0150976909413854,-0.00410022779043284,-0.00348854493766149,0.00843050914964705,-0.010556864624519,0.0157131400806887
"2010-05-31",-0.0673665791776028,0.0020106810783207,0.00333760633958735,-0.0022271470575328,-0.00696948495775263,-0.0797972795451376
"2010-06-30",-0.0440900562851783,0.00885472517438712,-0.00583067352409616,-0.00255099235801859,-0.00415955342384078,-0.0526482372905321
"2010-07-30",0.0628066732090284,-0.0013154986792393,0.00285532698400814,0.00451974909880626,0.00197281595667964,NA
"2010-08-31",-0.0221606648199446,0.00448912493677289,-0.00789386617706656,0.00523468279139183,0.00198251045570563,-0.0455990722129584
"2010-09-30",0.0708215297450425,-0.000293741213990395,0.00818212989013767,-0.0006222707423581,-0.00613904323079006,0.0890751456044316
"2010-10-29",0.0828924162257496,0.00323210275568231,0.00479862097882555,0.00294943359951061,-0.00049088454668178,NA
"2010-11-30",-0.0407166123778502,0.00480115478755683,-0.00362582589544458,0.0122095999477199,-0.0100680754696388,-6.79088877886258e-06
"2010-12-31",0.102716468590832,-0.00835927171276585,0.00986537486097738,-0.00660683926227212,-0.00078552430301948,0.0666656648818598
"2011-01-31",-0.0177059276366436,0.00361124524974277,0.00499048444102423,-0.00541594454072791,0.00834413703693504,0.0235344870789533
"2011-02-28",-0.00940438871473359,7.32202255182557e-05,0.00370020541412974,0.0091810063167066,-0.00759119694710797,0.0341060931006176
"2011-03-31",0.0537974683544304,0.00189312721605694,0.00881669049761746,0.01115871491318,-0.011852913611555,0.000218204209212702
"2011-04-29",0.00450450450450446,0.000782962730974113,-0.000851322039731484,0.00678783739073818,-0.00055791118054016,NA
"2011-05-31",-0.0403587443946188,0.00177332707453193,-0.00396564617371797,-0.000869261022123813,-0.00117226750027899,-0.0114987848572272
"2011-06-30",-0.0124610591900312,0.00211381267246313,0.00261637166128215,0.0103128879269185,-0.000391214441401666,-0.0168152279650831
"2011-07-29",-0.0536277602523659,0.00541366196305004,-0.000993895935918476,0.00183779128991945,0.00265570837526563,NA
"2011-08-31",-0.113333333333333,0.00729647888051743,-0.00698236464570312,-0.00246336401182412,0.000599436808208065,-0.0543705342737837
"2011-09-30",-0.148496240601504,-0.00151849381829372,-0.016249674045812,-0.00409823145550259,0.00731432074341365,-0.0704091647132068
"2011-10-31",0.0794701986754967,-0.00879599658846852,0.0198523974943847,-0.00200479039388857,-0.0112445022267711,0.10915267584276
"2011-11-30",0.0132924335378324,-0.00368024382911236,0.00180569615058412,0.00510662592643496,-0.00467204744785921,-0.00230795263553785
"2011-12-30",-0.0595358224016145,-0.00409963998085439,0.0085206324931042,0.00427071718595506,-0.00209402009697146,NA
"2012-01-31",0.0976394849785407,0.00519266131728524,0.00640418099596518,-0.0196497402379755,0.00104216545080704,0.0444355290353498
"2012-02-29",0.0869990224828934,-0.0026712677608125,-8.96889140017398e-05,0.00477584512158624,0.00431907709622958,0.0428836649507101
"2012-03-30",-0.0215827338129496,-0.000552359513089851,-0.00324702990945103,0.00241378943674708,0.00585540784736716,NA
"2012-04-30",-0.0514705882352942,0.00407720622738506,-9.44886141217571e-05,0.0123581202927761,0.000389944989903412,-0.00652581770441985
